split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9999259259259259, eval_accuracy=0.9825
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.898, eval_accuracy=0.9413333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9875, eval_accuracy=0.9482407407407407
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9983333333333333, eval_accuracy=0.9497407407407408
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9996666666666667, eval_accuracy=0.9503333333333334
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9259166666666667, eval_accuracy=0.9554791666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9890833333333333, eval_accuracy=0.9599375
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.99875, eval_accuracy=0.9609583333333334
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.9999166666666667, eval_accuracy=0.9615625
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9474, eval_accuracy=0.9687
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9926666666666667, eval_accuracy=0.9711
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.9989, eval_accuracy=0.9720333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.9998666666666667, eval_accuracy=0.9719666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9570625, eval_accuracy=0.9756666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9932291666666667, eval_accuracy=0.976
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.999, eval_accuracy=0.9779166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9999166666666667, eval_accuracy=0.9776666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9577222222222223, eval_accuracy=0.9815
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9929629629629629, eval_accuracy=0.9823333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.9987592592592592, eval_accuracy=0.9826666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9998518518518519, eval_accuracy=0.983
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.0, eval_accuracy=0.31057019006335446
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=1.0, eval_accuracy=0.40090030010003336
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=1.0, eval_accuracy=0.4272924308102701
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=1.0, eval_accuracy=0.437295765255085
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.3, eval_accuracy=0.621652754590985
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=1.0, eval_accuracy=0.6496494156928214
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=1.0, eval_accuracy=0.6562270450751252
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=1.0, eval_accuracy=0.6590984974958264
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.723, eval_accuracy=0.8591016949152542
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.978, eval_accuracy=0.8849152542372881
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.999, eval_accuracy=0.892135593220339
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=0.999, eval_accuracy=0.8952542372881356
