split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.7131666666666666, eval_accuracy=0.7828703703703703
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.8236666666666667, eval_accuracy=0.8102407407407407
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.757, eval_accuracy=0.8150208333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.846, eval_accuracy=0.8342083333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.7996333333333333, eval_accuracy=0.8471
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.8606666666666667, eval_accuracy=0.8605333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8176875, eval_accuracy=0.8608333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8703541666666667, eval_accuracy=0.87325
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.821962962962963, eval_accuracy=0.8748333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.8722777777777778, eval_accuracy=0.8841666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.7186666666666667, eval_accuracy=0.782537037037037
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.826, eval_accuracy=0.8107037037037037
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.8523333333333334, eval_accuracy=0.8239814814814815
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.8743333333333333, eval_accuracy=0.8305185185185185
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8185, eval_accuracy=0.8618333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8701875, eval_accuracy=0.87475
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.8826458333333334, eval_accuracy=0.8785833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.8895208333333333, eval_accuracy=0.879
