split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.4035, eval_accuracy=0.4967037037037037
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.5215, eval_accuracy=0.5162037037037037
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.45916666666666667, eval_accuracy=0.5178333333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.5378333333333334, eval_accuracy=0.5334791666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.4986, eval_accuracy=0.5399
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.5535666666666667, eval_accuracy=0.5669666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.5170208333333334, eval_accuracy=0.5699166666666666
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.5680416666666667, eval_accuracy=0.5883333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.5227592592592593, eval_accuracy=0.5956666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.5719074074074074, eval_accuracy=0.6106666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.4088333333333333, eval_accuracy=0.4984074074074074
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.5261666666666667, eval_accuracy=0.5139814814814815
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.5381666666666667, eval_accuracy=0.518537037037037
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.5483333333333333, eval_accuracy=0.5273703703703704
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.5192083333333334, eval_accuracy=0.5723333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.5679166666666666, eval_accuracy=0.5935833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.5841458333333334, eval_accuracy=0.6013333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.5917083333333333, eval_accuracy=0.6038333333333333
